raw,ln,LOG10,cellid,gt,ms
5.583614,1.719836237,0.746915388,1,WT,A
6.004336,1.792481875,0.778464987,1,WT,A
6.07715,1.804535836,0.783699956,1,WT,A
6.211537,1.826408369,0.793199077,1,WT,A
6.572917,1.882957722,0.817758148,1,WT,A
6.911771,1.9332259,0.839589341,1,WT,A
7.220291,1.976895257,0.858554701,1,WT,A
7.378949,1.998631217,0.867994509,1,WT,A
7.701136,2.04136785,0.886554793,1,WT,A
8.217918,2.106316892,0.914761803,1,WT,A
8.24337,2.109409241,0.916104793,1,WT,A
8.341311,2.121220398,0.921234314,1,WT,A
8.362945,2.123810638,0.922359241,1,WT,A
8.440806,2.133077802,0.926383919,1,WT,A
8.660195,2.15873724,0.937527671,1,WT,A
8.744555,2.168431221,0.941737714,1,WT,A
8.90293,2.186380436,0.949532959,1,WT,A
8.959742,2.192741432,0.952295504,1,WT,A
8.983171,2.195352938,0.953429667,1,WT,A
9.006461,2.197942209,0.954554173,1,WT,A
9.053807,2.203185332,0.956831232,1,WT,A
9.112215,2.209615821,0.959623958,1,WT,A
9.117537,2.210199702,0.959877534,1,WT,A
9.186682,2.217754827,0.963158683,1,WT,A
9.199228,2.219119567,0.963751383,1,WT,A
9.222736,2.22167174,0.964859777,1,WT,A
9.245937,2.224184212,0.96595093,1,WT,A
9.292252,2.229180935,0.968120979,1,WT,A
9.295737,2.229555908,0.968283828,1,WT,A
9.36145,2.236600193,0.971343122,1,WT,A
9.366432,2.237132234,0.971574185,1,WT,A
9.37698,2.23825775,0.97206299,1,WT,A
9.420219,2.242858337,0.974060999,1,WT,A
9.455349,2.246580613,0.975677563,1,WT,A
9.540071,2.255500928,0.979551607,1,WT,A
9.551935,2.256743752,0.980091358,1,WT,A
9.665483,2.268561086,0.985223561,1,WT,A
9.692484,2.27135074,0.986435093,1,WT,A
9.757656,2.278052208,0.989345503,1,WT,A
9.766572,2.278965534,0.989742156,1,WT,A
9.935731,2.296137452,0.997199825,1,WT,A
10.00658,2.303242877,1.000285672,1,WT,A
10.02416,2.304998179,1.00104799,1,WT,A
10.0881,2.311356511,1.003809379,1,WT,A
10.12351,2.314860442,1.005331116,1,WT,A
10.12525,2.315032304,1.005405755,1,WT,A
10.12644,2.315149825,1.005456794,1,WT,A
10.13367,2.315863543,1.005766758,1,WT,A
10.22778,2.325107548,1.009781378,1,WT,A
10.28451,2.33063888,1.012183605,1,WT,A
10.30201,2.332339022,1.012921967,1,WT,A
10.31398,2.333500257,1.013426285,1,WT,A
10.37407,2.339309424,1.015949174,1,WT,A
10.42903,2.344593264,1.018243917,1,WT,A
10.4481,2.346420144,1.019037321,1,WT,A
10.56306,2.357363009,1.023789747,1,WT,A
10.61926,2.362669334,1.026094254,1,WT,A
10.62055,2.362790804,1.026147008,1,WT,A
10.68618,2.368951318,1.028822485,1,WT,A
10.75384,2.3752629,1.031563571,1,WT,A
10.77884,2.377584953,1.032572025,1,WT,A
10.85407,2.384540125,1.035592618,1,WT,A
10.90731,2.389433207,1.037717657,1,WT,A
11.05438,2.40282673,1.04353439,1,WT,A
11.1021,2.40713428,1.045405135,1,WT,A
11.20684,2.416524306,1.049483172,1,WT,A
11.23552,2.419080189,1.050593177,1,WT,A
11.28392,2.423378703,1.052459998,1,WT,A
11.5898,2.450125401,1.064075942,1,WT,A
11.5936,2.450453222,1.064218312,1,WT,A
11.62585,2.453231067,1.065424715,1,WT,A
11.64468,2.454849423,1.066127558,1,WT,A
11.6804,2.457912223,1.067457716,1,WT,A
11.73075,2.462213599,1.069325779,1,WT,A
11.801,2.468184274,1.07191881,1,WT,A
11.86016,2.473184884,1.074090548,1,WT,A
11.88869,2.475587528,1.075134003,1,WT,A
11.89977,2.476519072,1.075538567,1,WT,A
11.96179,2.481717403,1.077796174,1,WT,A
11.96936,2.482350051,1.078070929,1,WT,A
12.03048,2.487443429,1.080282955,1,WT,A
12.07264,2.490941735,1.08180225,1,WT,A
12.08572,2.49202459,1.082272528,1,WT,A
12.20824,2.502111134,1.086653058,1,WT,A
12.21676,2.502808779,1.086956042,1,WT,A
12.23255,2.504100432,1.087517,1,WT,A
12.41734,2.519093883,1.094028573,1,WT,A
12.463,2.522764255,1.095622595,1,WT,A
12.46541,2.522957609,1.095706567,1,WT,A
12.55694,2.530273501,1.098883819,1,WT,A
12.58666,2.532637523,1.099910501,1,WT,A
12.62302,2.535522131,1.10116327,1,WT,A
12.67346,2.539510043,1.102895198,1,WT,A
12.70045,2.541637426,1.103819109,1,WT,A
12.72629,2.543669933,1.104701815,1,WT,A
12.79468,2.54902946,1.107029428,1,WT,A
13.04009,2.568028458,1.115280589,1,WT,A
13.04599,2.568480807,1.115477041,1,WT,A
13.0485,2.568673185,1.11556059,1,WT,A
13.04892,2.568705372,1.115574569,1,WT,A
13.07637,2.570806785,1.116487201,1,WT,A
13.09778,2.57244275,1.117197691,1,WT,A
13.09833,2.572484741,1.117215928,1,WT,A
13.10612,2.573079297,1.11747414,1,WT,A
13.17263,2.578141192,1.119672493,1,WT,A
13.22548,2.582145272,1.121411443,1,WT,A
13.2591,2.584684109,1.122514046,1,WT,A
13.28494,2.586631063,1.123359597,1,WT,A
13.2881,2.586868898,1.123462888,1,WT,A
13.332,2.59016716,1.124895305,1,WT,A
13.39813,2.595115145,1.127044187,1,WT,A
13.40482,2.595614344,1.127260987,1,WT,A
13.44941,2.598935239,1.128703233,1,WT,A
13.48183,2.601342853,1.129748847,1,WT,A
13.48792,2.60179447,1.129944981,1,WT,A
13.50787,2.603272479,1.130586872,1,WT,A
13.51066,2.603479003,1.130676565,1,WT,A
13.57887,2.608514908,1.132863631,1,WT,A
13.57907,2.608529637,1.132870027,1,WT,A
13.60924,2.610748974,1.133833873,1,WT,A
13.68661,2.616417983,1.136295892,1,WT,A
13.69359,2.61692784,1.136517321,1,WT,A
13.89042,2.631199394,1.142715378,1,WT,A
13.90355,2.632144203,1.143125703,1,WT,A
13.97217,2.637067494,1.145263861,1,WT,A
13.97769,2.637462487,1.145435404,1,WT,A
14.02735,2.641008995,1.146975633,1,WT,A
14.14606,2.64943614,1.150635496,1,WT,A
14.14707,2.649507536,1.150666502,1,WT,A
14.26328,2.657688403,1.154219408,1,WT,A
14.27657,2.658619732,1.154623879,1,WT,A
14.2845,2.659175033,1.154865043,1,WT,A
14.38965,2.666509198,1.158050231,1,WT,A
14.45755,2.671216769,1.160094703,1,WT,A
14.53689,2.676689557,1.162471504,1,WT,A
14.58223,2.679803664,1.163823944,1,WT,A
14.58481,2.679980576,1.163900776,1,WT,A
14.66535,2.685487568,1.166292432,1,WT,A
14.73328,2.69010888,1.168299443,1,WT,A
14.79807,2.694496767,1.170205077,1,WT,A
14.81601,2.695708353,1.170731262,1,WT,A
14.8203,2.695997863,1.170856995,1,WT,A
14.83345,2.696884766,1.171242172,1,WT,A
14.87497,2.699679935,1.172456099,1,WT,A
14.89206,2.700828185,1.172954777,1,WT,A
14.89682,2.701147767,1.17309357,1,WT,A
14.95544,2.705075113,1.174799195,1,WT,A
14.97673,2.706497663,1.175417,1,WT,A
15.03693,2.710509175,1.177159178,1,WT,A
15.057,2.711842999,1.17773845,1,WT,A
15.0797,2.713349468,1.178392702,1,WT,A
15.0966,2.714469553,1.178879148,1,WT,A
15.11144,2.715452073,1.179305851,1,WT,A
15.1783,2.719866776,1.181223132,1,WT,A
15.19041,2.720664308,1.181569496,1,WT,A
15.32481,2.729473084,1.185395099,1,WT,A
15.33184,2.729931712,1.185594278,1,WT,A
15.33772,2.730315154,1.185760805,1,WT,A
15.37682,2.732861181,1.186866531,1,WT,A
15.61268,2.748083405,1.193477458,1,WT,A
15.62877,2.749113447,1.1939248,1,WT,A
15.77221,2.758249531,1.197892551,1,WT,A
15.79792,2.759878286,1.19859991,1,WT,A
15.84177,2.762650123,1.199803704,1,WT,A
15.86177,2.763911811,1.200351648,1,WT,A
15.98324,2.771540673,1.203664821,1,WT,A
16.07425,2.777218613,1.206130719,1,WT,A
16.15292,2.782100838,1.208251042,1,WT,A
16.27269,2.789488243,1.211459351,1,WT,A
16.29887,2.79109578,1.212157496,1,WT,A
16.31529,2.792102705,1.212594798,1,WT,A
16.31571,2.792128447,1.212605977,1,WT,A
16.39866,2.797199624,1.214808362,1,WT,A
16.43061,2.799146059,1.215653687,1,WT,A
16.6001,2.809408719,1.220110704,1,WT,A
16.77196,2.819708444,1.224583818,1,WT,A
16.90812,2.82779398,1.228095321,1,WT,A
17.00854,2.833715571,1.230667036,1,WT,A
17.09266,2.838649132,1.232809654,1,WT,A
17.12468,2.840520698,1.233622465,1,WT,A
17.14186,2.841523425,1.234057944,1,WT,A
17.19072,2.844369703,1.235294067,1,WT,A
17.22824,2.846549898,1.236240913,1,WT,A
17.29625,2.850489715,1.237951954,1,WT,A
17.46012,2.859919423,1.242047224,1,WT,A
17.49003,2.861631004,1.242790554,1,WT,A
17.53239,2.864050027,1.243841123,1,WT,A
17.60609,2.868244865,1.245662918,1,WT,A
17.61954,2.869008513,1.245994566,1,WT,A
17.65968,2.871284075,1.24698283,1,WT,A
17.7126,2.874276251,1.248282315,1,WT,A
17.74735,2.876236209,1.249133514,1,WT,A
17.77233,2.877642753,1.249744369,1,WT,A
17.84679,2.88182366,1.251560113,1,WT,A
17.92863,2.886398876,1.253547105,1,WT,A
17.95084,2.88763691,1.254084776,1,WT,A
17.9754,2.889004156,1.254678563,1,WT,A
17.99568,2.890131729,1.255168262,1,WT,A
18.00843,2.890839982,1.255475852,1,WT,A
18.01514,2.891212515,1.255637641,1,WT,A
18.0152,2.891215846,1.255639088,1,WT,A
18.02308,2.891653159,1.25582901,1,WT,A
18.05376,2.893353973,1.256567665,1,WT,A
18.05397,2.893365605,1.256572716,1,WT,A
18.10345,2.896102528,1.257761347,1,WT,A
18.13484,2.89783495,1.258513728,1,WT,A
18.21712,2.902361811,1.260479719,1,WT,A
18.25956,2.904688778,1.261490308,1,WT,A
18.34919,2.909585432,1.263616898,1,WT,A
18.46259,2.915746523,1.266292625,1,WT,A
18.50618,2.91810473,1.267316782,1,WT,A
18.53533,2.919678641,1.268000323,1,WT,A
18.58047,2.922111029,1.269056695,1,WT,A
18.63499,2.925040996,1.270329164,1,WT,A
18.71386,2.929264426,1.272163376,1,WT,A
18.74006,2.930663479,1.272770977,1,WT,A
18.76044,2.931750397,1.27324302,1,WT,A
18.77037,2.932279563,1.273472833,1,WT,A
18.81705,2.934763374,1.274551539,1,WT,A
18.88011,2.938108987,1.27600452,1,WT,A
18.88167,2.93819161,1.276040403,1,WT,A
18.96299,2.942489185,1.277906816,1,WT,A
18.96454,2.94257092,1.277942313,1,WT,A
18.99931,2.944402663,1.278737829,1,WT,A
19.00373,2.944635276,1.278838851,1,WT,A
19.06805,2.94801416,1.280306282,1,WT,A
19.18682,2.954223585,1.283003001,1,WT,A
19.24554,2.957279346,1.284330101,1,WT,A
19.314,2.960830222,1.285872227,1,WT,A
19.4281,2.966720472,1.28843033,1,WT,A
19.49006,2.969904592,1.289813176,1,WT,A
19.50275,2.970555481,1.290095854,1,WT,A
19.73924,2.982608533,1.295330427,1,WT,A
19.86922,2.989171801,1.298180818,1,WT,A
19.97334,2.994398384,1.300450695,1,WT,A
20.07239,2.999345239,1.302599087,1,WT,A
20.38292,3.014697295,1.3092664,1,WT,A
20.4469,3.017831282,1.310627473,1,WT,A
20.45126,3.018044494,1.31072007,1,WT,A
20.61702,3.026116948,1.314225892,1,WT,A
20.693,3.029795479,1.315823458,1,WT,A
20.71752,3.030979719,1.316337767,1,WT,A
20.75052,3.032571307,1.317028984,1,WT,A
20.85853,3.037762977,1.319283698,1,WT,A
20.95984,3.042608226,1.321387963,1,WT,A
21.04612,3.04671622,1.323172042,1,WT,A
21.16638,3.052414074,1.325646589,1,WT,A
21.49394,3.067771035,1.332316032,1,WT,A
21.49601,3.067867337,1.332357855,1,WT,A
21.54903,3.070330804,1.333427726,1,WT,A
21.56608,3.07112171,1.333771212,1,WT,A
21.62175,3.073699753,1.334890842,1,WT,A
21.67724,3.076262862,1.336003986,1,WT,A
21.83574,3.083548077,1.339167914,1,WT,A
21.88342,3.085729272,1.340115196,1,WT,A
21.90153,3.086556497,1.340474455,1,WT,A
21.93446,3.088058916,1.341126947,1,WT,A
22.09389,3.0953011,1.344272187,1,WT,A
22.10324,3.095724204,1.344455939,1,WT,A
