raw ,ln,LOG10,cellid,gt,ms
1.075707,0.07297812,0.031693995,1,WT,A
1.605539,0.473459526,0.205620859,1,WT,A
1.799724,0.58763332,0.255205908,1,WT,A
2.150899,0.765885894,0.332620018,1,WT,A
2.646049,0.973067584,0.422597882,1,WT,A
2.942394,1.079223536,0.468700826,1,WT,A
3.049289,1.114908449,0.484198587,1,WT,A
3.154807,1.148927321,0.498972796,1,WT,A
3.157609,1.149815096,0.499358351,1,WT,A
3.262227,1.182410091,0.513514178,1,WT,A
3.309075,1.196668694,0.519706611,1,WT,A
3.402265,1.224441386,0.531768137,1,WT,A
3.432188,1.233197959,0.535571069,1,WT,A
3.44874,1.238008947,0.537660454,1,WT,A
3.49722,1.251968367,0.543722953,1,WT,A
3.649635,1.294627163,0.562249433,1,WT,A
3.674043,1.301292691,0.565144235,1,WT,A
3.752125,1.322322346,0.574277298,1,WT,A
3.840845,1.345692394,0.584426781,1,WT,A
3.909889,1.363508985,0.592164428,1,WT,A
3.951593,1.374118789,0.596772207,1,WT,A
4.063363,1.402010956,0.608885622,1,WT,A
4.33913,1.467673867,0.637402662,1,WT,A
4.351225,1.470457415,0.638611541,1,WT,A
4.492489,1.502406891,0.652487022,1,WT,A
4.555403,1.516314001,0.658526803,1,WT,A
4.665488,1.540192438,0.668897077,1,WT,A
4.728569,1.55362262,0.674729731,1,WT,A
4.760576,1.560368669,0.677659503,1,WT,A
4.887921,1.58676706,0.689124178,1,WT,A
4.896148,1.588448774,0.689854537,1,WT,A
4.956821,1.600764608,0.695203236,1,WT,A
4.98792,1.607018989,0.697919479,1,WT,A
5.044335,1.618265831,0.702803921,1,WT,A
5.05719,1.620810993,0.703909271,1,WT,A
5.141388,1.637323082,0.71108038,1,WT,A
5.145108,1.63804636,0.711394495,1,WT,A
5.293193,1.666421655,0.723717729,1,WT,A
5.483677,1.701775861,0.739071866,1,WT,A
5.656209,1.73275388,0.752525449,1,WT,A
5.776955,1.753876727,0.761698985,1,WT,A
6.080616,1.805106007,0.783947578,1,WT,A
6.15015,1.816476472,0.788885708,1,WT,A
6.159028,1.817918973,0.789512178,1,WT,A
6.3404,1.846941858,0.802116657,1,WT,A
6.700518,1.902184837,0.826108378,1,WT,A
7.297189,1.987489206,0.863155595,1,WT,A
7.3703,1.997458411,0.867485166,1,WT,A
7.40398,2.002017693,0.869465237,1,WT,A
7.661918,2.036262344,0.8843375,1,WT,A
7.735541,2.045825423,0.888490692,1,WT,A
7.867724,2.062768821,0.895849116,1,WT,A
7.870142,2.063076105,0.895982568,1,WT,A
7.871594,2.063260583,0.896062686,1,WT,A
7.954263,2.073708011,0.900599946,1,WT,A
7.955746,2.073894435,0.900680909,1,WT,A
8.509224,2.141150752,0.929889956,1,WT,A
8.740781,2.167999545,0.941550239,1,WT,A
8.860584,2.181612677,0.947462347,1,WT,A
8.890741,2.185010398,0.948937959,1,WT,A
9.21991,2.221365276,0.964726682,1,WT,A
9.629852,2.264867857,0.983619613,1,WT,A
9.671326,2.269165425,0.985486023,1,WT,A
9.832917,2.285735635,0.992682373,1,WT,A
10.37361,2.339265081,1.015929916,1,WT,A
10.65424,2.365957935,1.027522476,1,WT,A
10.66844,2.36728985,1.028100919,1,WT,A
11.44185,2.437277686,1.05849625,1,WT,A
11.57638,2.448966815,1.063572774,1,WT,A
12.11318,2.494294116,1.083258171,1,WT,A
12.31124,2.510512666,1.090301798,1,WT,A
13.68984,2.616653952,1.136398372,1,WT,A
13.78271,2.623414908,1.139334618,1,WT,A
14.15616,2.650149865,1.150945463,1,WT,A
14.46655,2.671839088,1.160364972,1,WT,A
14.58191,2.679781719,1.163814413,1,WT,A
15.4795,2.739516568,1.189756929,1,WT,A
15.86318,2.764000701,1.200390252,1,WT,A
15.9442,2.769095127,1.202602733,1,WT,A
17.07577,2.8376605,1.232380296,1,WT,A
17.18813,2.844219029,1.23522863,1,WT,A
17.3125,2.851428784,1.238359786,1,WT,A
18.01295,2.891090944,1.255584844,1,WT,A
18.92651,2.940563585,1.277070539,1,WT,A
19.59284,2.975164193,1.292097392,1,WT,A
20.32391,3.011798025,1.308007263,1,WT,A
20.60196,3.025386217,1.31390854,1,WT,A
22.89189,3.130782699,1.35968165,1,WT,A
23.14857,3.141933008,1.364524168,1,WT,A
31.1284,3.438120586,1.493156799,1,WT,A
39.25176,3.669996284,1.593859135,1,WT,A
50.92501,3.930354158,1.706931123,1,WT,A
1.200131,0.182430718,0.079228654,2,WT,A
1.298365,0.261105781,0.1133968,2,WT,A
1.401657,0.337655108,0.14664175,2,WT,A
1.515519,0.415757955,0.180561385,2,WT,A
1.596836,0.468024171,0.203260315,2,WT,A
1.597444,0.468404852,0.203425642,2,WT,A
1.602143,0.471342108,0.204701277,2,WT,A
1.618491,0.481494234,0.209110289,2,WT,A
1.683159,0.520672385,0.226125144,2,WT,A
1.700104,0.530689426,0.230475489,2,WT,A
1.788409,0.581326398,0.252466847,2,WT,A
1.811799,0.594320274,0.258110016,2,WT,A
1.816195,0.596743653,0.259162476,2,WT,A
1.854669,0.617706243,0.268266413,2,WT,A
1.9719,0.678997545,0.294884887,2,WT,A
1.979892,0.683042298,0.296641501,2,WT,A
1.98342,0.684822627,0.297414688,2,WT,A
2.04633,0.716047945,0.310975671,2,WT,A
2.055152,0.720349811,0.312843948,2,WT,A
2.124869,0.753710153,0.327332161,2,WT,A
2.167416,0.773535675,0.335942275,2,WT,A
2.168637,0.77409886,0.336186863,2,WT,A
2.208686,0.792397769,0.344133978,2,WT,A
2.277388,0.823029172,0.357437028,2,WT,A
2.317162,0.840343161,0.364956398,2,WT,A
2.325581,0.8439699,0.366531471,2,WT,A
2.415345,0.881842134,0.382979173,2,WT,A
2.480524,0.908469828,0.394543433,2,WT,A
2.503753,0.917790806,0.398591483,2,WT,A
