raw,ln,LOG10,cellid,gt,ms
35.06145,3.557102236,1.544829873,1,WT,A
28.60778,3.353678709,1.456484157,1,WT,A
27.25471,3.30522635,1.435441565,1,WT,A
90.72537,4.507837031,1.957728748,1,WT,A
52.35384,3.958025287,1.718948541,1,WT,A
43.73357,3.778115999,1.640814931,1,WT,A
50.09923,3.914005639,1.699831051,1,WT,A
50.48602,3.921696466,1.703171135,1,WT,A
66.42014,4.196000324,1.822299787,1,WT,A
32.68404,3.486886885,1.514335733,1,WT,A
26.23945,3.267264003,1.418954728,1,WT,A
41.04449,3.7146566,1.613254864,1,WT,A
136.0944,4.913348763,2.133840255,1,WT,A
34.42976,3.538921307,1.536933995,1,WT,A
25.55932,3.241002025,1.407549295,1,WT,A
25.02142,3.219732258,1.398311953,1,WT,A
33.63778,3.51564984,1.526827326,1,WT,A
33.83742,3.521567291,1.529397242,1,WT,A
39.92019,3.686882211,1.6011926,1,WT,A
24.64925,3.204746474,1.39180371,1,WT,A
67.64196,4.214228501,1.830216183,1,WT,A
123.1013,4.813007594,2.090262639,1,WT,A
40.61851,3.704223874,1.608723988,1,WT,A
56.10372,4.02720212,1.748991658,1,WT,A
54.06284,3.990147074,1.732898856,1,WT,A
71.49077,4.26956835,1.854249975,1,WT,A
24.11108,3.182671486,1.382216664,1,WT,A
42.39323,3.74698868,1.627296507,1,WT,A
116.8592,4.760969791,2.067662909,1,WT,A
55.36877,4.014015716,1.743264876,1,WT,A
36.20938,3.589318201,1.558821089,1,WT,A
23.93428,3.175311741,1.379020367,1,WT,A
150.8551,5.016319773,2.178559997,1,WT,A
84.90641,4.441549591,1.928940478,1,WT,A
25.79755,3.250279526,1.411578463,1,WT,A
69.25282,4.237763866,1.840437463,1,WT,A
33.62033,3.515130944,1.526601972,1,WT,A
27.30894,3.307214121,1.436304843,1,WT,A
34.91154,3.552817434,1.542969007,1,WT,A
101.332,4.618402255,2.005746614,1,WT,A
114.6432,4.741824697,2.0593483,1,WT,A
32.27637,3.474335384,1.508884685,1,WT,A
22.45781,3.111638438,1.351367403,1,WT,A
67.89439,4.21795341,1.831833891,1,WT,A
27.78773,3.324594556,1.44385307,1,WT,A
43.60052,3.775069077,1.639491669,1,WT,A
17.78884,2.878571294,1.250147629,1,WT,A
140.3172,4.943905574,2.14711091,1,WT,A
78.87636,4.367881563,1.89694686,1,WT,A
74.28546,4.307915239,1.870903817,1,WT,A
70.218,4.251604688,1.846448455,1,WT,A
41.44456,3.724356631,1.617467533,1,WT,A
32.48198,3.480685474,1.511642495,1,WT,A
29.14373,3.372239795,1.464545135,1,WT,A
39.748,3.682559525,1.599315281,1,WT,A
88.43927,4.482316102,1.946645149,1,WT,A
38.77877,3.657872932,1.58859403,1,WT,A
29.42527,3.381853829,1.468720457,1,WT,A
56.08883,4.026936684,1.748876381,1,WT,A
68.27541,4.223549672,1.834264317,1,WT,A
51.93595,3.950011229,1.71546808,1,WT,A
65.18322,4.177202074,1.81413581,1,WT,A
63.92073,4.157643722,1.805641726,1,WT,A
46.58593,3.841298564,1.66825477,1,WT,A
34.41832,3.538588981,1.536789668,1,WT,A
43.61345,3.775365589,1.639620442,1,WT,A
82.47505,4.412495823,1.916322588,1,WT,A
36.12822,3.587074277,1.557846565,1,WT,A
81.89863,4.405482263,1.913276637,1,WT,A
38.45303,3.649437496,1.584930567,1,WT,A
39.21797,3.66913506,1.59348511,1,WT,A
24.99402,3.218636596,1.397836113,1,WT,A
51.78358,3.947073111,1.714192072,1,WT,A
61.00723,4.110992382,1.785381307,1,WT,A
37.82996,3.633101381,1.577835882,1,WT,A
67.09753,4.206147233,1.826706533,1,WT,A
43.90633,3.782058501,1.642527137,1,WT,A
69.87093,4.246649683,1.844296524,1,WT,A
51.73991,3.946229437,1.713825669,1,WT,A
34.33487,3.536161456,1.535735407,1,WT,A
44.38861,3.792982905,1.647271546,1,WT,A
44.22408,3.789269437,1.645658807,1,WT,A
44.1591,3.787799021,1.645020214,1,WT,A
39.46312,3.675366565,1.596191418,1,WT,A
27.964,3.330917969,1.446599293,1,WT,A
36.90813,3.608431852,1.567122042,1,WT,A
29.42474,3.381835817,1.468712634,1,WT,A
46.41583,3.837640565,1.666666121,1,WT,A
39.64981,3.680086156,1.598241111,1,WT,A
25.67527,3.245528272,1.409515019,1,WT,A
65.53813,4.182632111,1.816494045,1,WT,A
38.61005,3.653512605,1.586700364,1,WT,A
28.6866,3.356430115,1.457679078,1,WT,A
67.4807,4.211841631,1.829179579,1,WT,A
19.34532,2.96245053,1.286575918,1,WT,A
133.1233,4.891275766,2.124254075,1,WT,A
71.47954,4.269411255,1.854181749,1,WT,A
58.51208,4.069233229,1.767245537,1,WT,A
47.96659,3.870504727,1.680938845,1,WT,A
36.38656,3.594199476,1.560940999,1,WT,A
43.63794,3.775926955,1.639864241,1,WT,A
45.85878,3.825566674,1.661422497,1,WT,A
39.19123,3.668452997,1.593188894,1,WT,A
