raw ,ln,LOG10,cellid,gt,ms
3.042876,1.112803121,0.483284255,1,WT,A
3.657351,1.296739115,0.563166642,1,WT,A
3.662165,1.298054503,0.563737908,1,WT,A
3.726021,1.315340908,0.571245298,1,WT,A
3.867307,1.352558399,0.587408649,1,WT,A
3.881377,1.356189988,0.588985828,1,WT,A
3.916054,1.365084514,0.592848672,1,WT,A
4.296599,1.45782378,0.633124823,1,WT,A
4.337297,1.467251343,0.637219162,1,WT,A
4.345985,1.46925243,0.638088223,1,WT,A
4.357298,1.47185214,0.639217263,1,WT,A
4.546346,1.514323833,0.657662485,1,WT,A
4.611783,1.52861455,0.663868864,1,WT,A
4.72325,1.552497122,0.674240933,1,WT,A
4.797598,1.568115376,0.681023855,1,WT,A
4.983542,1.606140883,0.697538123,1,WT,A
4.995507,1.608538908,0.698579572,1,WT,A
5.031688,1.615755514,0.701713704,1,WT,A
5.113556,1.631895053,0.708723016,1,WT,A
5.116623,1.632494651,0.708983419,1,WT,A
5.329996,1.673350488,0.726726883,1,WT,A
5.335006,1.674290009,0.727134912,1,WT,A
5.379287,1.682555838,0.730724716,1,WT,A
5.587257,1.720488469,0.747198648,1,WT,A
5.681821,1.73727178,0.754487548,1,WT,A
5.693564,1.739336414,0.755384207,1,WT,A
5.709056,1.742053686,0.756564303,1,WT,A
5.772387,1.753085686,0.76135544,1,WT,A
5.881671,1.771840905,0.769500728,1,WT,A
5.896989,1.774441882,0.770630318,1,WT,A
6.06563,1.802638412,0.782875915,1,WT,A
6.235996,1.83033831,0.794905828,1,WT,A
6.289309,1.838851208,0.798602933,1,WT,A
6.305272,1.841386109,0.799703826,1,WT,A
6.329122,1.845161522,0.801343467,1,WT,A
6.471673,1.867434653,0.811016565,1,WT,A
6.483311,1.869231337,0.811796855,1,WT,A
6.506223,1.872759104,0.813328945,1,WT,A
6.523954,1.875480634,0.81451089,1,WT,A
6.541113,1.878107334,0.815651652,1,WT,A
6.57034,1.882565582,0.817587844,1,WT,A
6.671104,1.897785363,0.824197711,1,WT,A
6.680918,1.899255403,0.824836141,1,WT,A
6.783297,1.914463267,0.831440833,1,WT,A
6.844554,1.9234533,0.835345154,1,WT,A
6.866211,1.926612426,0.836717145,1,WT,A
6.879508,1.928547138,0.83755738,1,WT,A
6.907163,1.932558989,0.839299705,1,WT,A
6.919293,1.934313597,0.840061721,1,WT,A
6.929962,1.93585433,0.840730853,1,WT,A
6.963722,1.940714102,0.842841425,1,WT,A
6.998834,1.945743564,0.845025693,1,WT,A
7.105384,1.960852807,0.851587554,1,WT,A
7.169462,1.969830617,0.855486567,1,WT,A
7.203557,1.974574932,0.857546997,1,WT,A
7.20457,1.974715547,0.857608065,1,WT,A
7.208815,1.975304583,0.85786388,1,WT,A
7.245358,1.980360988,0.860059849,1,WT,A
7.330196,1.992002255,0.865115587,1,WT,A
7.337976,1.993063055,0.865576287,1,WT,A
7.439363,2.006785227,0.87153575,1,WT,A
7.46031,2.009596968,0.872756874,1,WT,A
7.468228,2.010657755,0.873217568,1,WT,A
7.485065,2.012909702,0.874195576,1,WT,A
7.644074,2.033930707,0.883324883,1,WT,A
7.735309,2.045795432,0.888477667,1,WT,A
7.814946,2.056038054,0.892925981,1,WT,A
7.888955,2.06546368,0.897019479,1,WT,A
7.961796,2.074654603,0.901011046,1,WT,A
8.034785,2.083780241,0.90497426,1,WT,A
8.132672,2.095889529,0.910233257,1,WT,A
8.13931,2.09670541,0.91058759,1,WT,A
8.161838,2.099469389,0.91178797,1,WT,A
8.194096,2.103413895,0.913501048,1,WT,A
8.21831,2.106364592,0.914782519,1,WT,A
8.246876,2.109834462,0.916289465,1,WT,A
8.265812,2.112127972,0.917285523,1,WT,A
8.285047,2.114452324,0.918294976,1,WT,A
8.30157,2.116444654,0.919160234,1,WT,A
8.320877,2.118767658,0.920169102,1,WT,A
8.330613,2.119937043,0.92067696,1,WT,A
8.416087,2.130144993,0.925110216,1,WT,A
8.463094,2.135714828,0.927529165,1,WT,A
8.490339,2.138928929,0.928925031,1,WT,A
8.497327,2.139751643,0.929282331,1,WT,A
8.50768,2.140969285,0.929811146,1,WT,A
8.577801,2.149177587,0.933375967,1,WT,A
8.60448,2.152282998,0.934724629,1,WT,A
8.628246,2.15504124,0.935922519,1,WT,A
8.631155,2.155378332,0.936068916,1,WT,A
8.650412,2.15760695,0.937036792,1,WT,A
8.833921,2.17859897,0.946153511,1,WT,A
8.858965,2.181429941,0.947382986,1,WT,A
8.868561,2.182512551,0.947853158,1,WT,A
8.882722,2.184108042,0.94854607,1,WT,A
9.002532,2.197505871,0.954364674,1,WT,A
9.004266,2.197698465,0.954448316,1,WT,A
9.04321,2.2020142,0.956322616,1,WT,A
9.059696,2.203835565,0.957113625,1,WT,A
9.092521,2.207452207,0.958684313,1,WT,A
9.10255,2.208554594,0.959163073,1,WT,A
9.109194,2.209284233,0.959479951,1,WT,A
